column,min,max
Flow Duration,-919011000000.0,120000000.0
Tot Fwd Pkts,0.0,9021.0
Tot Bwd Pkts,0.0,19181.0
TotLen Fwd Pkts,0.0,8737314.0
TotLen Bwd Pkts,0.0,27905234.0
Fwd Pkt Len Max,0.0,64440.0
Fwd Pkt Len Min,0.0,1460.0
Fwd Pkt Len Mean,0.0,16529.3138401559
Fwd Pkt Len Std,0.0,18401.5827717299
Bwd Pkt Len Max,0.0,2708.0
Bwd Pkt Len Min,0.0,1176.0
Bwd Pkt Len Mean,0.0,1459.240494732
Bwd Pkt Len Std,0.0,1329.3607486307
Flow Byts/s,0.0,1298500000.0
Flow Pkts/s,-0.0010297608,4000000.0
Flow IAT Mean,-340701000000.0,119991524.0
Flow IAT Std,0.0,424473900119.579
Flow IAT Max,-159438000000.0,979781000000.0
Flow IAT Min,-943564000000.0,119991524.0
Fwd IAT Tot,-919011000000.0,119999899.0
Fwd IAT Mean,-340701000000.0,119991524.0
Fwd IAT Std,0.0,424473900119.579
Fwd IAT Max,-159438000000.0,979781000000.0
Fwd IAT Min,-943564000000.0,119991524.0
Bwd IAT Tot,0.0,119999812.0
Bwd IAT Mean,0.0,119913081.0
Bwd IAT Std,0.0,84502515.871413
Bwd IAT Max,0.0,119913081.0
Bwd IAT Min,0.0,119913081.0
Fwd PSH Flags,0.0,1.0
Bwd PSH Flags,0.0,0.0
Fwd URG Flags,0.0,0.0
Bwd URG Flags,0.0,0.0
Fwd Header Len,0.0,204920.0
Bwd Header Len,0.0,383632.0
Fwd Pkts/s,0.0,4000000.0
Bwd Pkts/s,0.0,2000000.0
Pkt Len Min,0.0,1460.0
Pkt Len Max,0.0,64440.0
Pkt Len Mean,0.0,3326.9937254902
Pkt Len Std,0.0,10579.8091239129
Pkt Len Var,0.0,111932361.098431
FIN Flag Cnt,0.0,1.0
SYN Flag Cnt,0.0,1.0
RST Flag Cnt,0.0,1.0
PSH Flag Cnt,0.0,1.0
ACK Flag Cnt,0.0,1.0
URG Flag Cnt,0.0,1.0
CWE Flag Count,0.0,0.0
ECE Flag Cnt,0.0,1.0
Down/Up Ratio,0.0,126.0
Pkt Size Avg,0.0,3328.2989407611
Fwd Seg Size Avg,0.0,16529.3138401559
Bwd Seg Size Avg,0.0,1459.240494732
Fwd Byts/b Avg,0.0,0.0
Fwd Pkts/b Avg,0.0,0.0
Fwd Blk Rate Avg,0.0,0.0
Bwd Byts/b Avg,0.0,0.0
Bwd Pkts/b Avg,0.0,0.0
Bwd Blk Rate Avg,0.0,0.0
Subflow Fwd Pkts,0.0,9021.0
Subflow Fwd Byts,0.0,8737314.0
Subflow Bwd Pkts,0.0,19181.0
Subflow Bwd Byts,0.0,27905234.0
Init Fwd Win Byts,-1.0,65535.0
Init Bwd Win Byts,-1.0,65535.0
Fwd Act Data Pkts,0.0,1468.0
Fwd Seg Size Min,0.0,56.0
Active Mean,0.0,111992358.0
Active Std,0.0,60177110.6318582
Active Max,0.0,111992358.0
Active Min,0.0,111992358.0
Idle Mean,0.0,339450312500.0
Idle Std,0.0,243268209256.922
Idle Max,0.0,979781000000.0
Idle Min,0.0,12603000000.0
Protocol_6,0.0,1.0
Protocol_17,0.0,1.0
