tag,size_name,lam,drop_port,hidden_dim,latent_dim,n_blocks,encoder_params,fp32_KB,int8_KB,MACs_per_window,FLOPs_per_window,cpu_latency_ms_1window,cpu_throughput_windows_per_s
L_lam0.05,L,0.05,False,48,32,2,40576,158.5,39.625,3280896,6561792,0.40520940000684885,4177.020837786198
L_lam0.25,L,0.25,False,48,32,2,40576,158.5,39.625,3280896,6561792,0.47143276666853734,4142.75170196637
L_lam0,L,0.0,False,48,32,2,40576,158.5,39.625,3280896,6561792,0.41354273333430075,3925.7930164779264
L_lam1,L,1.0,False,48,32,2,40576,158.5,39.625,3280896,6561792,0.4848553333355691,4078.0855898721543
M_lam0.25,M,0.25,False,32,8,2,18064,70.5625,17.640625,1613824,3227648,0.3791485666624794,5484.441934363609
M_lam0,M,0.0,False,32,8,2,18064,70.5625,17.640625,1613824,3227648,0.37312536666528706,5404.290268450033
M_lam1,M,1.0,False,32,8,2,18064,70.5625,17.640625,1613824,3227648,0.37071883333889366,5499.999426370012
S_dropport,S,0.0,True,16,4,1,3024,11.8125,2.953125,307200,614400,0.19356133333682615,10622.922357640267
S_lam0.25,S,0.25,False,16,4,1,3040,11.875,2.96875,308224,616448,0.19213906666664116,10590.878954651787
S_lam0,S,0.0,False,16,4,1,3040,11.875,2.96875,308224,616448,0.18544566666302367,10607.31986115836
S_lam1,S,1.0,False,16,4,1,3040,11.875,2.96875,308224,616448,0.23087829999894893,11056.346493183752
XS_lam0.25,XS,0.25,False,8,4,1,1060,4.140625,1.03515625,124416,248832,0.17760036666913948,11704.105402429363
XS_lam0,XS,0.0,False,8,4,1,1060,4.140625,1.03515625,124416,248832,0.18203566666367502,11784.564498233527
XS_lam1,XS,1.0,False,8,4,1,1060,4.140625,1.03515625,124416,248832,0.18314016667015193,11716.624001975919
